id_inv,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th
CLP129_2,0.0,24.54287732919277,35.080836489133475,1.1157220818304425,0.49344237650207745,2.2656363659082355,10.151641361344026,2.1352201662245203,0.00014900807103593493,2.120278372034038,0.00013149577624397266,0.0735620744457858,0.30117013448885144,21.414113905516217,0.00011366565139090925,0.013581522194759752,1.0541431141882186e-05,0.02807329835358221,9.607529557564154e-06,9.22299027043984e-06,8.940842253837931e-06,8.48242751569621e-06,8.383382350596286e-06,0.04396905326612153,0.0029815984421752762,7.534539663712746e-06,0.08826390769722206,7.210145559404618e-06,0.004468099023855228,6.627741004670481e-06,6.2945478607596835e-06,0.014531519384992643,5.959076810472689e-06,5.834051413882995e-06,0.01721077111610849,5.5015258158840795e-06,5.249731844373398e-06,0.09189941787240774,3.7019794821829775e-06,3.6437433819737026e-06,3.4009208865593324e-06,3.339477458208512e-06,3.2775024505073585e-06,3.232942969797517e-06,2.8868796634260142e-06
CLP131_1,19.685657081999455,1.013074056790001,63.269752222896095,0.6725324219091541,0.3975468619873251,2.962713097604495,0.00016228750928794716,0.9348748967068623,0.00014114374459215122,0.00013255723229239682,0.00012455571116446465,0.03441270491490739,0.09539966277446886,10.832317453347773,0.03165398688702775,0.038053621341988586,9.985077012148928e-06,0.013781074019821085,9.100464750713766e-06,8.736220622525346e-06,8.46896377317765e-06,8.034743181851765e-06,7.940925408164996e-06,7.423968079445125e-06,7.2416309497148575e-06,7.13688281796522e-06,6.955534769512583e-06,6.829609538824358e-06,0.003835505869850225,6.277943047531571e-06,5.962335123228865e-06,5.882297843790706e-06,5.644569515563564e-06,5.5261426912908545e-06,0.013683345647071691,5.211167081258343e-06,4.972662255595736e-06,4.620443931739686e-06,3.5065969439508356e-06,3.4514344202241944e-06,3.221427575388726e-06,3.163226999421785e-06,3.104522899722657e-06,3.0623151728475664e-06,2.734516345658969e-06
CLP_132_1_H23a,0.0,22.50471009974346,29.130556356454058,2.526456910544082,1.5162676392937213,7.565164590036379,1.3143241655236901,2.3523995584716575,0.00015130196369954847,0.5469331766343768,0.00013352007730582234,0.20249932872757975,0.20861696687394415,31.93200841198447,0.07986750388499372,0.06791002248946784,1.070371034858717e-05,0.02548846811926789,9.75543189207751e-06,9.364972846087295e-06,9.078481324728655e-06,8.613009558082336e-06,8.512439650221769e-06,7.958276522339591e-06,7.762816455276423e-06,7.650529523444088e-06,7.456129722565555e-06,7.321141560408588e-06,0.0062382138663258134,6.729771225995056e-06,6.391448767255405e-06,6.3056511459498676e-06,6.05081333509461e-06,5.923863245177846e-06,0.02011140343793896,5.5862186088314735e-06,5.330548415449219e-06,4.952980679773973e-06,3.7589693050562606e-06,3.6998366939258063e-06,3.4532760873009565e-06,3.390886773076027e-06,3.3279576961455702e-06,3.2827122481241326e-06,2.9313214982516667e-06
CLP_132_1_H23b,12.552591775245947,19.362971260229386,29.774370103942072,3.2759202543544594,1.709561733487297,8.099654821969143,1.3519819113021931,3.321414718723693,0.00013866011915503857,0.3818188168298509,0.00012236397582770126,0.05119028070187133,0.14546039120062831,19.79662521254485,0.050876367753749145,0.0588373396105937,0.038060376337873764,0.02087991708165543,8.940329097449562e-06,8.582494364057219e-06,8.319940280044257e-06,7.89336041915989e-06,7.801193502972015e-06,7.293332775558991e-06,7.114204127613282e-06,7.011299188597798e-06,0.007379793595045097,6.7094328209316496e-06,6.49657702617484e-06,6.167473688151538e-06,5.857419335289193e-06,5.778790425904586e-06,5.545245266579568e-06,5.428902331139835e-06,5.251002996053204e-06,5.119469166076509e-06,4.885161172895579e-06,4.539140632661282e-06,3.4448933708108178e-06,3.3907015103431015e-06,3.1647419638997377e-06,3.1075655100527233e-06,3.0498943926915437e-06,3.0084293709530687e-06,2.686398631523612e-06
CLP_132_1_H23c,10.29166210977064,21.41057471413667,31.68143660019681,2.786462869675482,1.4422169072097464,8.135169543463785,1.3090453955852894,2.399365719452026,0.00013988147374304627,0.4287973984689924,0.00012344178972397324,0.04946426659197872,0.13506641212821727,19.66617997440897,0.066476431528514,0.10596152120261938,0.058879884383133366,0.01760128498528161,9.019077853963032e-06,8.658091218668106e-06,8.393224489627406e-06,7.962887201781216e-06,7.86990845529466e-06,7.357574357793144e-06,7.176867897875649e-06,7.073056545248515e-06,0.007306930140364117,6.7685312596803695e-06,0.007930098696262176,6.221798409140839e-06,5.909013016461797e-06,5.829691523082513e-06,5.594089236924005e-06,5.476721522486191e-06,5.297255203536892e-06,5.16456278919074e-06,4.928190949936242e-06,4.579122570302012e-06,3.4752368924324355e-06,3.4205676958869914e-06,3.1926178386719756e-06,3.1349377596683006e-06,3.076758660024877e-06,3.0349284035321647e-06,2.710061133141401e-06
CLP132_2,14.505970690833326,2.211536504699941,61.32549450797035,1.2328417576777357,1.0701515436754037,4.4085508203173625,0.908371512713934,1.8858193075507506,0.000142116129857704,0.03310067464438475,0.00012541381606048218,0.05701241262092143,0.06326265710542207,12.192375937978642,0.03133001965843655,0.019702150883637033,1.005386746255167e-05,0.010553589885551133,9.163160818887719e-06,8.79640729416644e-06,8.527309225265055e-06,8.090097146741315e-06,7.99563303182955e-06,7.475114215557968e-06,7.2915209059040005e-06,7.18605113012967e-06,7.003453715856665e-06,6.8766609452059966e-06,0.004461194907654576,6.321193843626284e-06,6.003411593453378e-06,5.922822911107173e-06,5.683456794933845e-06,5.5642140896647665e-06,0.019320951830286894,0.019728977597529236,5.006920546828436e-06,4.6522756761256605e-06,3.5307550333538277e-06,3.475212477019737e-06,3.2436210400541638e-06,3.1850195013475667e-06,3.125910969969657e-06,3.0834124603055424e-06,2.753355320142858e-06
CLP133_9,0.0,25.889184817926132,32.451977168584065,1.216469529826611,0.5562407522027446,2.4620369492150327,9.730420111255004,1.0777828436624715,0.00014982975354828652,1.7703332244922825,0.00013222088985048134,0.06852701334590627,0.34574215169012845,24.17493595954743,0.0001142924434656851,0.00011475979368516212,1.0599560272500582e-05,0.027094859255287963,9.660508828884616e-06,9.273849057914389e-06,8.990145178670111e-06,8.529202581660635e-06,8.429611246950367e-06,0.03688233251178437,0.004689242077340293,7.576087745217668e-06,0.06962715476442291,7.2499048185943e-06,0.0037205483923965672,6.664288681867241e-06,6.3292581946656835e-06,6.244295408057275e-06,5.991937239917107e-06,5.866222409652692e-06,0.013731062000881976,0.01217009892877717,5.278680698090298e-06,0.0877956837451205,3.7223934891588853e-06,3.663836254766765e-06,3.419674751359737e-06,3.3578925024992376e-06,3.2955757429743277e-06,3.2507705457351446e-06,2.902798925504969e-06
CLP134_6,20.45449999306765,1.7034146643243757,63.188670569980374,0.6519564134836519,0.3829150193067925,3.0830843336075087,0.00016054997889096862,1.1931628490170494,0.0001396325898048958,0.019801839352299972,0.0001232221560731634,0.045150905260596584,0.04638931756379393,9.131112312141749,0.01949204185543369,0.043421469822972264,9.878171835645188e-06,0.022178484096831905,9.003030670910735e-06,8.642686320637603e-06,8.378290855395065e-06,7.948719244632954e-06,7.855905930465422e-06,7.3444834027695645e-06,7.164098464596086e-06,7.060471818188976e-06,6.881065371699434e-06,6.75648835885636e-06,0.003336491264290085,6.2107282820610385e-06,5.89849941240283e-06,5.8193190516919676e-06,5.584135960608029e-06,5.466977072530127e-06,0.010840051641051417,5.155373747272578e-06,4.9194224723190376e-06,4.570975172165045e-06,3.469053581514629e-06,3.4144816550691316e-06,3.1869373773540054e-06,3.129359925559146e-06,3.07128434100639e-06,3.0295285109455076e-06,2.705239260241465e-06
20,0.0,25.60105107034733,33.5460622417037,0.9811291202470293,0.5102609079274346,2.7942647431221213,9.971048524698608,2.0892572216804606,0.00014873444949915806,2.092917659065886,0.00013125431230094324,0.07445574285750561,0.30731100281257945,21.720094597686153,0.00011345692866873652,0.010936402791040266,1.0522074052237197e-05,0.02730586366353092,9.589887378963398e-06,9.206054216211828e-06,8.924424304255959e-06,8.466851346994022e-06,8.367988057211967e-06,0.0430277583128078,0.0030524342283655094,7.520704088851877e-06,0.10488662107145909,7.196905665118129e-06,0.00355397828076047,6.615570572113041e-06,6.282989266335886e-06,6.198647585228846e-06,5.948134237071683e-06,5.823338422953014e-06,0.016221639853791416,5.491423437282071e-06,5.240091831688598e-06,0.10263707012903975,3.6951815865522965e-06,3.637052424518413e-06,3.3946758208191514e-06,3.333345220217683e-06,3.2714840163979636e-06,3.2270063596692328e-06,2.8815785247393315e-06
CLP137_31,0.0,22.33953067329113,33.668331951845005,1.4288894380917154,1.0304440754147095,2.9310270406168186,9.711372923316523,3.1661156886576642,0.00014923525568737452,1.7743812196279722,0.00013169626083439835,0.00012902667357923532,0.3265412071525158,23.364938920047752,0.00011383895134179357,0.00011430444719857431,1.0557503099213044e-05,0.02821871371737731,9.622177645003688e-06,9.23705207135608e-06,8.954473878735112e-06,8.495360220113613e-06,8.396164046137767e-06,0.04105325374245046,0.0065082632749509615,7.546027174123142e-06,0.07574911259108016,7.2211384834412425e-06,0.004055388361924995,6.6378459675728905e-06,6.304144821862357e-06,6.219519152506695e-06,5.968162296773376e-06,5.84294628063571e-06,0.014072183126417776,0.015262460945146024,5.257735830271098e-06,0.0727424963701617,3.7076236926774106e-06,3.649298802994953e-06,3.4061060890843703e-06,3.344568981218366e-06,3.28249948353137e-06,3.23787206536e-06,2.8912811347391037e-06
