,ID_XMET,Method,Date XRF,Time,Duration,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th,Σ
10,CLP131_1,Soil_LE_FP,2019-06-28,11:51:57,60.533,19.685788795756377,1.0133184434108922,63.269903109751844,0.6725845648187512,0.39784011522769525,2.9625446539044806,0.0,0.934638739601906,0.0,0.0,0.0,0.03426374198133261,0.09517706105925725,10.832418576024265,0.03172568701975242,0.038070824423702895,0.0,0.013959302288691064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038070824423702895,0.0,0.0,0.0,0.0,0.0,0.013959302288691064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000003
11,CLP_132_1_H23a,Soil_LE_FP,2019-06-28,12:46:57,60.5,0.0,22.505101346755545,29.130730512855397,2.5261869133451236,1.5161202557475177,7.564957148687254,1.3141069242279966,2.352741123656646,0.0,0.5468643721942594,0.0,0.20269351108692701,0.20881512719357914,31.93239015099987,0.07958100938647805,0.06801795674057952,0.0,0.025166643994014425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061216161066521575,0.0,0.0,0.0,0.0,0.0,0.020405387022173854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12,CLP_132_1_H23b,Soil_LE_FP,2019-06-28,12:48:54,60.533,12.552439488103328,19.363183583401387,29.77440890645357,3.2757148289210405,1.7098545719753402,8.09983605842055,1.352050516447143,3.321219525878459,0.0,0.38211478403969507,0.0,0.05111486507545676,0.14524101905587106,19.79703658452965,0.05111486507545676,0.05859508923284068,0.03802447280003491,0.020570616432805774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007480224157383917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000003
13,CLP_132_1_H23c,Soil_LE_FP,2019-06-28,12:51:32,60.538,10.291398890747423,21.41033541685007,31.680982983914575,2.786336825424773,1.4419025819677282,8.135147711694943,1.3092198759951201,2.3996076113339955,0.0,0.4288606894470086,0.0,0.04967741124092915,0.13519801793417427,19.66596657150403,0.06665576698149987,0.1062719303761649,0.05910983109680177,0.017607183730962227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007545935884698099,0.0,0.008174763875089607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999997
14,CLP132_2,Soil_LE_FP,2019-06-28,12:00:10,60.501,14.505762694538854,2.211801385091104,61.325419743937026,1.2330377450103498,1.070123431550433,4.408269658327157,0.9084868774117707,1.8859727581712706,0.0,0.03322174235261045,0.0,0.056860289795814055,0.0632490864020853,12.192379443408038,0.03130510337072909,0.01980526947944085,0.0,0.010860954230661113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004472157624389869,0.0,0.0,0.0,0.0,0.0,0.019166389818813724,0.01980526947944085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999997
15,CLP133_9,Soil_LE_FP,2019-06-28,12:20:52,60.532,0.0,25.88945319340975,32.45274885155796,1.2164729021567804,0.5563713273430236,2.461909444841103,9.730436071183195,1.0777168568387867,0.0,1.7701499373577072,0.0,0.06870444962347265,0.345542967223936,24.17520981800056,0.0,0.0,0.0,0.02694292142096967,0.0,0.0,0.0,0.0,0.0,0.03704651695383329,0.0047150112486696915,0.0,0.0693780226589969,0.0,0.00404143821314545,0.0,0.0,0.0,0.0,0.0,0.013471460710484835,0.012124314639436352,0.0,0.08756449461815141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999997
16,CLP134_6,Soil_LE_FP,2019-06-28,11:57:53,60.533,20.454217328805385,1.7036288424237478,63.188685996221125,0.6521998405594229,0.3829084723207392,3.083354780392575,0.0,1.193293452265123,0.0,0.020087001826661725,0.0,0.045195754109988884,0.046451191724155245,9.131425486639003,0.019459283019578544,0.043312597688739345,0.0,0.02197015824791126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003138594035415895,0.0,0.0,0.0,0.0,0.0,0.010671219720414044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
17,CLP136_10,Soil_LE_FP,2019-06-28,12:08:56,60.501,0.0,25.600941447073687,33.54640705550391,0.980896915557279,0.5101733787117954,2.794252358632494,9.971449012750991,2.089504336139398,0.0,2.0928475430772213,0.0,0.07421919401967142,0.3075750382797194,21.720146833648705,0.0,0.01069826220103372,0.0,0.0274142968901489,0.0,0.0,0.0,0.0,0.0,0.04279304880413488,0.0033432069378230367,0.0,0.10497669784764335,0.0,0.0033432069378230367,0.0,0.0,0.0,0.0,0.0,0.016047393301550576,0.0,0.0,0.10297077368494952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999
18,CLP137_31,Soil_LE_FP,2019-06-28,12:23:37,60.5,0.0,22.339404917647844,33.66877998054409,1.429002717117842,1.030492100231458,2.9311328033276305,9.711180436751532,3.1659454563751632,0.0,1.7745127637449263,0.0,0.0,0.3267250343832813,23.365200764818354,0.0,0.0,0.0,0.028177518365703928,0.0,0.0,0.0,0.0,0.0,0.040924490959712845,0.006708932944215222,0.0,0.075810942269632,0.0,0.004025359766529133,0.0,0.0,0.0,0.0,0.0,0.014088759182851964,0.01543054577169501,0.0,0.07245647579752439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999
19,CLP138_34,Soil_LE_FP,2019-06-28,12:38:28,60.5,17.29109164869572,3.0316938379030893,63.36881416886197,1.0197858575443406,0.5105216500160324,3.7037968475916836,0.8173376170207416,1.4561184007846444,0.0,0.15089309852690613,0.0,0.0,0.0704167793125562,8.357591494659014,0.03269350468082966,0.03457966841241599,0.0,0.10562516896883431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004401048707034763,0.0,0.0,0.014460588608828507,0.0,0.0,0.01194570363338007,0.015089309852690615,0.0,0.0,0.0,0.003143606219310545,0.0,0.0,0.0,0.0,0.0,100.00000000000003
