,id_inv,site,id_yac,xrd1,xrd2,xrd3,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th
11,MP-1000,Cova Cassimanya,CAT01006,Antigorite,,,0.598263252436782,51.7160023441035,17.9434241786576,0.5844723322379101,0.935089568920996,3.2255586865512598,0.00598263252436782,19.582903662214697,0.00598263252436782,0.30896165626083194,0.00598263252436782,0.1597025529622,0.21082632362255802,4.4228307595760725,0.00598263252436782,0.145047724297197,0.110151387239328,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.0032774065415390892,0.000598263252436782,0.00426281586078125,0.000598263252436782,0.0034293359962504397,0.000598263252436782,0.00750716436455422,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000598263252436782,0.000125482625482625,0.000598263252436782
12,MP-958,Cova de Montnás,CAT01009,Braunite,Cinnabar,,0.614064024339876,4.31656376460397,2.80849292955162,0.48413002758377294,0.739136952566308,1.98838954454089,0.0061406402433987605,87.9987853034993,0.0061406402433987605,0.0464393374999551,0.0061406402433987605,0.0061406402433987605,0.0061406402433987605,0.183630928578672,0.0061406402433987605,0.0061406402433987605,0.000614064024339876,0.00403865907718181,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.729910615555788,0.000614064024339876,0.007943036357987529,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.008958855972932991,0.000614064024339876,0.0117940019837833,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.000614064024339876,0.000614064024339876,1E-05,0.000614064024339876
13,MP-762,Cueva del Toll,CAT01015,Berlinite,Alunite,,0.619372118666458,33.2287563596775,56.98598400971829,0.124778266303309,0.324368617355266,1.4312824812738,5.2315066875137095,0.6342390276478721,0.00619372118666458,0.855426301314883,0.00619372118666458,0.00619372118666458,0.00619372118666458,0.4801256874755301,0.00619372118666458,0.00619372118666458,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.0147835344465715,0.009189497309591359,0.000619372118666458,0.00645009550922054,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.0007174194424708,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.0009926383775256849,0.000619372118666458,0.000619372118666458,0.000619372118666458,0.000619372118666458,1.15830115830116e-05,0.000619372118666458
14,MP-150,Dolmen de la Mota,CAT02003,Lizardite,,,51.82136118443751,14.999789920292699,29.109853542985807,0.5538009608345711,0.11437663678615,1.1372239600868201,0.00536883598149922,0.265508082123146,0.00536883598149922,0.3682263047039071,0.00536883598149922,0.0127003389823141,0.12352485857903504,1.43861154314897,0.00536883598149922,0.00536883598149922,0.000536883598149922,0.00197081773563752,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.0117118122458821,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,0.000536883598149922,1E-05,0.000536883598149922
15,MP-151,Dolmen de la Mota,CAT02003,Lizardite,,,49.751037596617095,14.4293715307534,32.5973932174167,0.054438505361278,0.0714866212011791,0.828325240955524,0.0054438505361278,0.30738644052241104,0.0054438505361278,0.17241267288047596,0.0054438505361278,0.0140294632633496,0.0681744724754437,1.65825662942197,0.0054438505361278,0.00204052803221528,0.000544385053612779,0.0048293565478038,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.00423697040323899,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000544385053612779,0.000651340609537201,0.000544385053612779,1E-05,0.000544385053612779
16,MP-700,La Serreta estr. 5,CAT01016,Perovskite,Spinel,FeO,9.91325113956116,0.991325113956116,16.5544411054092,5.69050188097751,4.8947837036573,1.02068735287442,0.0991325113956116,0.6975240334737879,22.0514984752779,0.0991325113956116,0.206274708647773,0.617719318643322,1.95240775656288,0.0991325113956116,0.546689735862314,0.0991325113956116,0.00991325113956116,0.0454875396431378,14.2180501980138,0.00991325113956116,0.00991325113956116,0.0376590817118733,0.00991325113956116,0.00991325113956116,0.00991325113956116,11.1502611067433,0.00991325113956116,0.0234744284621387,0.00991325113956116,0.00991325113956116,0.0133962853237313,0.00991325113956116,0.0652593705477739,8.63373204978328,0.00991325113956116,0.0871154625437782,0.00991325113956116,0.00991325113956116,0.00991325113956116,0.0035783350894458103,0.00991325113956116,0.00991325113956116,0.00991325113956116,1.35135135135135e-05,0.00991325113956116
17,MP-815,Marge del Moro,CAT01017,Calcite,,,0.6097722801139269,7.0975125006515505,2.9803610785557697,0.6467043133512789,0.6189017465660389,1.7672215531425903,0.54757544515832,85.2847429972008,0.00609772280113927,0.00609772280113927,0.00609772280113927,0.0431564349338267,0.00609772280113927,0.183111847748421,0.00609772280113927,0.00609772280113927,0.0006097722801139268,0.0150158056130839,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.13911604518919699,0.0006097722801139268,0.00327532685757941,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0006097722801139268,0.0117019811079385,0.0006097722801139268,0.0006097722801139268,1E-05,0.0006097722801139268
18,MP-829,Roca de L'ivet,CAT02004,Delhayelite,,,0.526710617101284,35.9924777930231,13.1920520662769,36.7775764913144,0.13192408781420198,0.9443646494487341,1.44334174423837,0.321062437641209,0.00526710617101284,0.293466734035792,0.100912716872297,0.139285156264764,0.00526710617101284,9.910874448136822,0.00526710617101284,0.00526710617101284,0.0827207370829134,0.00459200140329966,0.000526710617101284,0.000526710617101284,0.0445006567663854,0.0086038760565354,0.000526710617101284,0.00394410533702464,0.000526710617101284,0.000526710617101284,0.00663988873176441,0.000526710617101284,0.0181151124172406,0.000526710617101284,0.00793116373241316,0.000526710617101284,0.00520103891986857,0.000526710617101284,0.000526710617101284,0.00817578076808005,0.000526710617101284,0.000526710617101284,0.00497748082477588,0.000526710617101284,0.000526710617101284,0.000526710617101284,0.000526710617101284,0.000150579150579151,0.000526710617101284
19,MP-847,Roca de L'ivet,CAT02004,Paragonite,,,0.531416986455574,31.541140283490602,5.49544010597444,42.2373048287572,0.38621384230863604,1.21828655822975,0.00531416986455574,0.177280430882555,0.00531416986455574,0.3675855270132671,0.543079743922052,0.28371673867233504,0.00531416986455574,17.1262910085669,0.00531416986455574,0.00531416986455574,0.0103697646304238,0.0005314169864555741,0.0005314169864555741,0.0005314169864555741,0.0005314169864555741,0.00349921911786476,0.0005314169864555741,0.0005314169864555741,0.0005314169864555741,0.0005314169864555741,0.00367000681253849,0.0005314169864555741,0.0033784717221250603,0.0005314169864555741,0.0122851706810917,0.0005314169864555741,0.0005314169864555741,0.0005314169864555741,0.009490388436406507,0.00632847101150281,0.0005314169864555741,0.0005314169864555741,0.00549184727644058,0.0005314169864555741,0.0005314169864555741,0.0005314169864555741,0.0005314169864555741,0.000231177606177606,0.0005314169864555741
20,MP-184,Sepulcro de MontjuÏc D'altés,CAT03003,Variscite,,,0.486286324473302,40.878185075878896,3.10125488967111,45.7075233386745,0.155775438313812,1.2381439674742,0.004862863244733021,1.22135788765614,0.004862863244733021,0.261292419943872,0.119609902352685,0.5750778154447139,0.004862863244733021,5.95899938090814,0.004862863244733021,0.004862863244733021,0.00688725792380279,0.00048628632447330196,0.00048628632447330196,0.00048628632447330196,0.165055140430796,0.00048628632447330196,0.00048628632447330196,0.00048628632447330196,0.0114883895418824,0.00048628632447330196,0.00261203519898183,0.00048628632447330196,0.00339564186969372,0.00048628632447330196,0.00048628632447330196,0.00969236671565403,0.00048628632447330196,0.00048628632447330196,0.00655427612802025,0.00048628632447330196,0.00048628632447330196,0.0509904833060187,0.00577792538058911,0.00048628632447330196,0.00048628632447330196,0.00048628632447330196,0.00048628632447330196,1E-05,0.00048628632447330196
