id_inv,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th,y_true,xrd2,xrd3
CLP_131,19.68559544360557,1.0130708847212462,63.26955411694046,0.6725303161212625,0.39760761746777934,2.962954543425467,0.00016228700114430844,0.9348719694900124,0.00014114330265243405,0.00013255681723818442,0.00012455532116407232,0.034412597164180485,0.09539936406551718,10.83228353593028,0.031653887774211575,0.038053502191071176,9.985045747553225e-06,0.01378103086945709,9.100436255955959e-06,8.73619326826404e-06,8.46893725573286e-06,8.03471802400903e-06,7.940900544078109e-06,7.423944834019953e-06,7.241608275211336e-06,7.136860471441942e-06,6.955512990814011e-06,6.829588154414324e-06,0.0038358936408477173,6.2779233904622276e-06,5.962316454369642e-06,5.882170363159519e-06,5.644602055635774e-06,5.52612538820778e-06,0.013683302802708146,5.21115076440553e-06,4.972646685533051e-06,4.611262478735591e-06,3.5065472068196595e-06,3.4514236133268998e-06,3.2213520692187508e-06,3.163217094940013e-06,3.10455874877198e-06,3.0623055843340603e-06,2.734484214247618e-06,Talc,,
CLP_133,0.0,25.889153413633796,32.45193780344434,1.216468054215656,0.5563268273235569,2.4622423153591533,9.730408307988125,1.0777815362822762,0.00014982957180067978,1.7703310770294516,0.00013222072946290998,0.06852693022075673,0.3457417322954012,24.17490663468605,0.00011429230482581168,0.00011475965447838005,1.0599547414942812e-05,0.027094826388479418,9.660497110422041e-06,9.273837808480738e-06,8.990134273377058e-06,8.529192235503614e-06,8.429601021600371e-06,0.03688228777250191,0.004689236389160844,7.576078555215125e-06,0.0696270703047716,7.249896024260607e-06,0.003720931678297651,6.6642805979020085e-06,6.329250517101635e-06,6.244172059237563e-06,5.991983275775786e-06,5.86621529376377e-06,0.01373104534472659,0.012170084166112868,5.278674294905611e-06,0.08762138980040851,3.7223478310580606e-06,3.6638318104327457e-06,3.419601157688765e-06,3.3578884292833934e-06,3.2956201195320287e-06,3.2507666024611773e-06,2.902770384545578e-06,Clinochlore,Phlogopite,
CLP_134,20.45443434110389,1.7034091969446867,63.18846775591444,0.6519543209260804,0.3829735085881752,3.083335346938304,0.00016054946358033285,1.1931590193715362,0.00013963214163193979,0.01980177579515411,0.00012322176057209873,0.04515076034160091,0.046389168669917435,9.131083004387717,0.01949197929263206,0.04342133045487408,9.878140130085062e-06,0.022178412911467577,9.003001774255058e-06,8.642658580564305e-06,8.378263963940971e-06,7.948693731957114e-06,7.855880715688643e-06,7.344459829484547e-06,7.164075470285156e-06,7.060449156484212e-06,6.881043285828131e-06,6.75646667283475e-06,0.003336828322704363,6.210708347743004e-06,5.898480480232902e-06,5.819192478968993e-06,5.584167713783341e-06,5.466959525399629e-06,0.01084001684818541,5.155357200282403e-06,4.919406682651923e-06,4.561891662110359e-06,3.4690041044840313e-06,3.414470695748398e-06,3.186862429336373e-06,3.1293498813818503e-06,3.0713195650571746e-06,3.0295187871929795e-06,2.7052072604136583e-06,Talc,,
CLP_136,0.0,25.60102219640552,33.54602440704424,0.9811280136883553,0.5103399114001091,2.7944980594685385,9.971037278930844,2.0892548653283223,0.00014873428175019227,2.092915298585352,0.00013125416426681115,0.0744556588831883,0.3073106562143094,21.720070100850233,0.00011345680070724203,0.01093639045650537,1.0522062184999676e-05,0.027305832866829794,9.589876563085201e-06,9.20604383323681e-06,8.924414238914996e-06,8.466841797723079e-06,8.3679786194432e-06,0.04302770978429285,0.0030524307857018457,7.520695606685593e-06,0.10488650277591782,7.1968975481453226e-06,0.003554344709610951,6.615563110794394e-06,6.2829821801164196e-06,6.198525666153605e-06,5.9481804430921576e-06,5.823331855147095e-06,0.016221621558343943,5.491417243823829e-06,5.240085921692708e-06,0.10243332145971232,3.695136576999113e-06,3.6370483224977668e-06,3.3946030543127855e-06,3.333341460730791e-06,3.27152834723549e-06,3.2270027201157787e-06,2.8815504378899735e-06,Clinochlore,Phlogopite,
CLP_137,0.0,22.339471507656096,33.66824278219012,1.4288856537171808,1.03060205145003,2.931267318995649,9.711347203011364,3.1661073032869935,0.0001492348604418879,1.7743765202279187,0.00013169591204045914,0.00012902633185562484,0.32654034231707374,23.36487703864707,0.00011383864984244939,0.00011430414446637709,1.055747513795529e-05,0.028218638980887032,9.62215216092978e-06,9.237027607276704e-06,8.954450163056338e-06,8.495337720384785e-06,8.39614180912729e-06,0.04105314501403251,0.006508246037993961,7.546007188676883e-06,0.0757489119716305,7.2211193584537804e-06,0.0040558003206959976,6.63782838741968e-06,6.304128125507489e-06,6.219387365500204e-06,5.96819958292418e-06,5.842930805752543e-06,0.01407214585662625,0.0152624205229363,5.257721905301779e-06,0.0725979821372441,3.7075728937082454e-06,3.64928913792704e-06,3.4060278982408846e-06,3.344560123219039e-06,3.2825389720936834e-06,3.237863489944532e-06,2.891248556785498e-06,Clinochlore,Phlogopite,
CLP_138,17.290808354641825,3.0317370294519517,63.36841898019793,1.0197819623816502,0.5108568238631616,3.7043739077206634,0.8170518956488203,1.4562545617930889,0.0001398546746623182,0.1507858775474189,0.00012341814022701335,0.0001209163570167804,0.07026685493208584,8.357670730542806,0.032965139597990176,0.03427825137277434,9.893883013005561e-06,0.10549131368446975,9.017349941116295e-06,8.656432465158356e-06,8.391616480398966e-06,7.961361638379296e-06,7.868400705151826e-06,7.356164762770293e-06,7.175492923355985e-06,7.0717014593441544e-06,6.892009667899362e-06,6.767234516010283e-06,0.004652791847618933,6.220606410848435e-06,5.907880942909711e-06,0.014279743120088121,5.593067253308882e-06,5.475672269155648e-06,0.011651728732859851,0.014871091220762316,4.927246786398522e-06,4.5691619908753745e-06,3.474532688281025e-06,0.003283115874383558,3.1919413613466587e-06,3.1343371551146684e-06,3.0762143553403043e-06,3.034346959191368e-06,2.7095185741443347e-06,Talc,,
CLP_139,12.57983873608779,1.6957569063586044,64.77638404556485,1.0524088508629996,0.7174049503570087,4.813064237380799,0.00016496507394612864,1.294853203612421,0.0001434724604859468,0.022906527636885027,0.0001266107428280346,0.03374003410707825,0.12327159132482116,12.789426928273517,0.03162902769706477,0.023406681379790472,1.0149819754423155e-05,0.01173947278795263,9.250612367720464e-06,8.880358613721243e-06,8.608692321542054e-06,8.167307570051965e-06,8.071941906720237e-06,7.546455353051128e-06,7.361109862070005e-06,7.254633501839851e-06,7.070293410885007e-06,6.9422905529736915e-06,0.003831966377791402,6.381522173885168e-06,6.060707067417533e-06,0.015247057917791443,5.737749720795071e-06,5.617317942123096e-06,0.014506762624260063,5.297145582412729e-06,5.054705690553087e-06,4.68735789327452e-06,3.5644125234295324e-06,3.508379276080145e-06,3.274511073333878e-06,3.215416751156956e-06,3.155790420366836e-06,3.112839990900453e-06,2.779608886892664e-06,Talc,,
CLP_141,0.0,5.526326192401553,61.738477805439786,3.069969191395818,1.783629178591398,6.671451461322558,1.2866531910137533,3.0476387153826923,0.00014710404856532833,0.08026802002195184,0.0001298155255634709,0.08114343174621633,0.2512188547870653,16.347272618618515,0.04578299936076168,0.040111261158205284,1.0406732923007482e-05,0.013553844836893252,9.484764716455596e-06,9.105139065474783e-06,8.826596331190218e-06,8.37403920838578e-06,8.276259640636682e-06,7.737471923122497e-06,7.547434950073425e-06,7.4382634504469155e-06,7.2492573262018045e-06,7.118014448210379e-06,6.892914846002017e-06,6.543051848475645e-06,6.214116240607342e-06,0.0160621338263895,5.882984168004924e-06,5.759504009104977e-06,5.570771209884875e-06,5.4312274172588164e-06,5.182650864619384e-06,4.806004726202279e-06,3.654635260157135e-06,3.5971836941113658e-06,3.357395797966358e-06,3.2968056748862522e-06,3.2356700769421345e-06,3.1916324822656058e-06,2.8499666019885943e-06,Talc,,
CLP_142,21.343065116671646,0.0,64.00836636853397,0.6825042572320402,0.43502189157937043,3.0351197247989568,0.00016053732924102112,1.102077373249881,0.0001396215882252351,0.022160577355473707,0.00012321244746310402,0.03452444246900371,0.10853788040576962,9.094201745769848,0.017573407128091193,0.05453991335115561,9.877393539586195e-06,0.011616385872415399,9.002321326772291e-06,8.64200536784448e-06,8.377630734184143e-06,7.948092969147465e-06,7.855286967693037e-06,7.343904734714097e-06,7.1635340089767686e-06,7.0599155272596275e-06,6.880523216111379e-06,6.755956018626831e-06,6.542306127439488e-06,6.210238941986193e-06,5.898034672679425e-06,0.01646707003914268,0.010441604387958707,5.466546332229094e-06,0.011156442365583429,0.012062624085805797,4.919034873562261e-06,4.5615468740301195e-06,3.4687419169192844e-06,3.41421262982237e-06,3.186621566058509e-06,3.1291133649062486e-06,3.071087434516804e-06,3.0292898159582263e-06,2.705002800666025e-06,Talc,,
CLP_143,14.994141747152213,2.8554083966436035,63.85156987051214,1.0949504310405982,0.6279297847915344,3.290323988074441,0.00016366708257552854,1.5711040234107008,0.0001423435790131913,0.03957048605476117,0.0001256145340689022,0.04356615278995418,0.060451961366726675,11.4175789694862,0.040066711594260056,0.04088470257018308,1.006995813196427e-05,0.022315458482023057,9.177825960641418e-06,8.81048546680162e-06,8.54095672104057e-06,8.1030449083056e-06,8.008429608702964e-06,7.487077730306097e-06,7.303190589520676e-06,7.197552015092362e-06,7.0146623635644305e-06,6.887666667963334e-06,0.003735116878196048,6.331310571423781e-06,6.01301972800039e-06,0.014830480194998644,5.692603500167259e-06,5.57311931243513e-06,0.014338714414515306,0.0166598277223107,5.014933851518821e-06,4.650476449518907e-06,3.536366728122695e-06,3.4807743660454825e-06,3.2487463037711408e-06,3.190116952259841e-06,3.1309597781280042e-06,3.0883472946612045e-06,2.757738146241172e-06,Talc,,
CLP_145,13.596548735680955,0.0,67.3429744111226,1.004616837747788,0.3776750567453556,3.4679111632113644,0.00016587577345378375,1.5353455630976194,0.00014426450874198727,0.04633694525977489,0.00012730970496831762,0.045775556456497536,0.06835074017068705,12.347655800044778,0.041927979016493144,0.06044195750432474,1.020585243838485e-05,0.02936190965412706,9.301680923792777e-06,8.929383161911107e-06,8.656217119799307e-06,8.212395677522175e-06,8.11650354237089e-06,7.588116008910981e-06,7.401747307117139e-06,7.294683137804014e-06,7.1093253864071275e-06,6.980615881101368e-06,0.004529107112395606,6.416751746805221e-06,6.09416556145089e-06,0.01581220997960932,5.769425309577474e-06,5.648328680104544e-06,0.014149788952392162,5.326388789829202e-06,5.082610494119152e-06,4.713234731465144e-06,3.5840900748803746e-06,3.527747492654503e-06,3.2925882065776704e-06,3.233167650678517e-06,3.1732121491809553e-06,3.1300246093127596e-06,2.7949538831649872e-06,Talc,,
CLP_146,14.754960956467134,3.964890205047066,60.016442612133424,1.3077262040623145,0.8670547446388923,4.0978699891656225,0.8206211459615053,2.0996888733071932,0.00014169264035969407,0.05229758519264689,0.00012504009751030675,0.053779886379634025,0.11872779625954583,11.731163111995022,0.034479219698828244,0.028759733725539034,1.002390810966866e-05,0.019388019835219324,9.135855667957557e-06,8.770195025981066e-06,8.501898837951533e-06,8.065989600448326e-06,7.971806977585661e-06,7.4528392467005745e-06,7.269793023704687e-06,7.1646375355657065e-06,6.982584240298658e-06,6.8561692973220745e-06,0.0034524621394959607,6.302357422944541e-06,5.985522126827709e-06,0.01476266025625764,5.6665711657059405e-06,5.547633380395444e-06,0.01352192525597887,5.2314328575641e-06,4.9920005073432974e-06,4.629209772798e-06,3.5201948866372196e-06,3.4648567490045953e-06,3.2338897534497885e-06,3.1755285145670507e-06,3.1166418668020584e-06,3.07422425066122e-06,2.74512698128342e-06,Talc,,
CLP_148,0.0,5.410080386218116,63.64784718267516,3.0658827145980707,1.8754667466380635,9.063031665283233,0.9229512587489602,2.617899830314773,0.00014411198876741033,0.07850004353568388,0.00012717511002785384,0.06578730579776436,0.09504741509995591,13.093768183925757,0.00010993084443416983,0.031458402529877416,1.0195062561040712e-05,0.025862690620452145,9.291846958735182e-06,8.919942799172424e-06,8.647065554895666e-06,8.203713331525409e-06,8.107922575889731e-06,7.580093666681017e-06,7.393921998446623e-06,7.286971019997447e-06,7.1018092333584705e-06,6.973235802896401e-06,0.0058748617634812065,6.409967799583389e-06,6.087722660250828e-06,6.005890845498221e-06,5.763325731731102e-06,5.64235712858294e-06,5.4574631076058725e-06,5.32075760105037e-06,5.07723703372957e-06,4.70825178418527e-06,3.5803008870068705e-06,3.5240178715398884e-06,3.2891072016240703e-06,3.2297494665930156e-06,3.169857351521152e-06,3.1267154705786345e-06,2.7919989894151573e-06,Talc,,
CLP_155,12.328488866977349,2.3939683214821295,65.81051366862098,1.0317185105501943,0.5930912330349833,4.59281560203191,0.0001643559817920948,1.5860545641512458,0.00014294272441568953,0.033964433003011524,0.00012614326442046488,0.029413525307976435,0.13907499944285567,11.336875819153402,0.025187988574835687,0.04872072697541033,1.0112344091063674e-05,0.016315606748758267,9.216456802070082e-06,8.847570117179296e-06,8.576906884636452e-06,8.137151835619813e-06,8.042138286077447e-06,7.5185919596893845e-06,7.333930810439766e-06,7.227847587460151e-06,7.044188126049419e-06,6.916657886581407e-06,0.00462156891965192,6.35796000406384e-06,6.038329426900322e-06,0.014952475518707127,5.7165645192663675e-06,5.59657740472681e-06,0.013641222511827525,5.277587201139391e-06,5.03604245776436e-06,4.670051000077996e-06,3.5512518243201568e-06,3.4954254656806583e-06,3.2624207626071604e-06,3.2035446313910575e-06,3.144138455870106e-06,3.101346610090407e-06,2.769345878343097e-06,Talc,,
CLP_156,16.67705726454408,2.088986831854076,64.41169263102304,1.1275111736062338,0.651705140857114,4.0988663092233555,0.0001610585337075516,1.4673462877098418,0.00014007488712930382,0.02710000019815233,0.00012361247204463612,0.02870229964925746,0.3639227183206648,8.94872412115327,0.028742994624260134,0.025749168933526734,9.909461729924548e-06,0.049505845933947634,9.031548486005843e-06,8.67006271636769e-06,8.404829757478248e-06,7.973897444502225e-06,7.880790136786461e-06,7.367747637592846e-06,7.186791315793031e-06,7.082836423748513e-06,6.9028616930827994e-06,6.777890072651769e-06,0.0038068569934550287,6.230401257443211e-06,5.9171833780284285e-06,5.8376439704253756e-06,5.601873988878084e-06,5.484294156852338e-06,5.304579690757185e-06,5.1717038032998136e-06,4.935005133932488e-06,4.576356505012976e-06,3.48000362028066e-06,3.4252972970506165e-06,3.196967330506094e-06,3.139272421804603e-06,3.081058102993372e-06,3.0391247832518594e-06,2.7137849297094693e-06,Talc,,
