,Name,Duration,Mg,+/-,Al,+/-.1,Si,+/-.2,P,+/-.3,S,+/-.4,Cl,+/-.5,Ar,+/-.6,K,+/-.7,Ca,+/-.8,Sc,+/-.9,Ti,+/-.10,V,+/-.11,Cr,+/-.12,Mn,+/-.13,Fe,+/-.14,Co,+/-.15,Ni,+/-.16,Cu,+/-.17,Zn,+/-.18,Ga,+/-.19,Ge,+/-.20,As,+/-.21,Se,+/-.22,Br,+/-.23,Kr,+/-.24,Rb,+/-.25,Sr,+/-.26,Y,+/-.27,Zr,+/-.28,Nb,+/-.29,Mo,+/-.30,Tc,+/-.31,Ru,+/-.32,Rh,+/-.33,Pd,+/-.34,Ag,+/-.35,Cd,+/-.36,In,+/-.37,Sn,+/-.38,Sb,+/-.39,Te,+/-.40,I,+/-.41,Xe,+/-.42,Cs,+/-.43,Ba,+/-.44,La,+/-.45,Ce,+/-.46,Pr,+/-.47,Nd,+/-.48,Pm,+/-.49,Sm,+/-.50,Eu,+/-.51,Gd,+/-.52,Tb,+/-.53,Dy,+/-.54,Ho,+/-.55,Er,+/-.56,Tm,+/-.57,Yb,+/-.58,Lu,+/-.59,Hf,+/-.60,Ta,+/-.61,W,+/-.62,Re,+/-.63,Os,+/-.64,Ir,+/-.65,Pt,+/-.66,Au,+/-.67,Hg,+/-.68,Tl,+/-.69,Pb,+/-.70,Bi,+/-.71,Po,+/-.72,At,+/-.73,Rn,+/-.74,Fr,+/-.75,Ra,+/-.76,Ac,+/-.77,Th,+/-.78,Pa,+/-.79,U,+/-.80
310,GUARDA247,60.501,,,26.6725,0.3157,1.041,0.0594,33.5247,0.1418,0.2651,0.0178,1.6154,0.0256,,,,,0.0888,0.0069,,,0.1794,0.0046,0.0738,0.0233,0.4267,0.0141,,,0.5752,0.0095,,,,,,,,,,,,,0.0173,0.0007,,,,,,,,,,,,,0.003,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0166,0.0021,,,,,,,,,,,,,,,0.0029,0.0009,,,,,,,,,,,,,,,,,,,,,,
311,GUARDA248,60.501,,,26.808,0.2743,0.8843,0.0511,31.883,0.1195,0.1459,0.0161,1.0941,0.0203,,,,,0.1056,0.0055,,,0.1649,0.0037,,,0.3848,0.0111,,,2.3275,0.0157,,,,,,,,,,,,,0.0381,0.0008,,,,,,,,,0.0018,0.0005,,,0.0036,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0176,0.002,,,,,,,,,,,,,,,0.0027,0.0007,,,,,,,,,,,,,,,,,,,,,,
312,GUARDA249,60.501,,,23.6777,0.274,2.9879,0.0669,29.2193,0.119,0.3977,0.0142,1.575,0.021,,,,,0.2017,0.0069,,,0.443,0.0055,0.0617,0.0198,0.4771,0.0121,,,4.1038,0.0218,,,,,,,,,,,,,0.0195,0.0028,,,,,,,,,,,,,0.0157,0.0007,,,,,,,,,,,,,,,,,,,0.0099,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0208,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,GUARDA250,60.501,,,27.1971,0.2686,0.6546,0.0493,32.9165,0.1185,0.1409,0.0158,1.0176,0.0193,,,,,0.0757,0.005,,,0.1239,0.0035,0.2049,0.0121,0.8677,0.0152,,,0.8061,0.0093,,,,,,,,,,,,,0.0099,0.0005,,,,,,,,,,,,,0.0041,0.0006,,,0.0205,0.0007,,,,,,,,,,,,,,,0.0106,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0239,0.002,,,,,,,,,,,,,,,0.0047,0.0008,,,,,,,,,,,,,,,,,,,,,,
314,GUARDA251,60.5,,,25.391,0.3187,2.3008,0.0748,30.519,0.1391,0.6422,0.0218,2.2464,0.0299,,,0.5375,0.0163,0.3126,0.0096,,,0.1662,0.0051,0.1271,0.0293,0.7712,0.0184,,,0.5275,0.0096,,,,,,,,,,,,,0.0082,0.0022,,,,,,,,,0.0888,0.0011,,,0.0171,0.001,,,0.0073,0.0009,,,,,,,,,,,,,,,0.0128,0.0039,0.0154,0.0043,,,,,,,,,0.0443,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0142,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,GUARDA252,60.5,,,26.8548,0.2752,0.8538,0.0518,33.2442,0.1223,0.1711,0.0155,1.3404,0.0209,,,,,0.0536,0.0052,,,0.0617,0.0032,,,0.3973,0.0111,,,1.3367,0.012,,,,,,,,,,,,,0.0517,0.0009,,,,,,,,,,,,,0.0037,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0091,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,GUARDA253,60.5,,,26.6902,0.299,0.9722,0.0622,33.3585,0.1329,0.1668,0.0198,1.4543,0.0253,,,,,0.0951,0.0062,,,0.0825,0.0038,,,0.3392,0.0115,,,1.2132,0.0124,,,,,,,,,,,,,0.0185,0.0027,,,,,,,,,0.002,0.0005,,,0.0096,0.0006,,,,,,,,,,,,,,,,,,,0.0127,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0111,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,GUARDA254,60.533,,,27.627,0.3131,0.7745,0.0602,32.8981,0.1378,0.1665,0.0195,1.6007,0.0266,,,,,0.0718,0.0062,,,0.1121,0.0042,,,0.2213,0.0103,,,0.5982,0.0092,,,,,,,,,,,,,0.0082,0.0005,,,,,,,,,,,,,0.0031,0.0006,,,,,,,,,,,,,,,,,,,0.0143,0.0032,0.0133,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0136,0.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,GUARDA255,60.5,,,26.7647,0.3331,1.4981,0.0698,31.2483,0.1439,0.3216,0.02,1.9812,0.0293,,,,,0.1635,0.008,,,0.2081,0.0053,,,0.2498,0.0119,,,1.223,0.014,,,,,,,,,,,,,0.0073,0.002,,,,,,,,,0.0022,0.0007,,,0.0105,0.0008,,,,,,,,,,,,,,,,,,,0.0134,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0117,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,GUARDA256,60.566,,,26.1265,0.2854,1.7751,0.0633,30.9042,0.1233,0.227,0.0172,1.3162,0.0221,,,,,0.1449,0.0063,,,0.3,0.0048,,,0.3967,0.0121,,,2.1688,0.0159,,,,,0.0028,0.0009,,,,,,,0.0173,0.0006,,,,,,,,,0.0038,0.0005,,,0.0142,0.0007,,,,,,,,,,,,,,,0.0094,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0194,0.0021,,,,,,,,,,,,,,,0.0047,0.0009,,,,,,,,,,,,,,,,,,,,,,
