iter	Passed	Remaining
669	71553	35242
670	71657	35134
671	71765	35028
672	71870	34920
673	71973	34812
674	72080	34705
675	72189	34599
676	72292	34491
677	72397	34383
678	72501	34275
679	72608	34168
680	72715	34062
681	72846	33966
682	72999	33881
683	73130	33785
684	73236	33678
685	73339	33569
686	73442	33460
687	73556	33356
688	73659	33248
689	73772	33143
690	73875	33035
691	74004	32938
692	74132	32840
693	74267	32746
694	74376	32640
695	74482	32532
696	74587	32424
697	74695	32318
698	74807	32213
699	74936	32115
700	75073	32021
701	75187	31917
702	75294	31810
703	75400	31702
704	75509	31596
705	75613	31487
706	75721	31381
707	75830	31274
708	75933	31166
709	76041	31059
710	76150	30953
711	76258	30846
712	76365	30738
713	76469	30630
714	76571	30521
715	76684	30416
716	76789	30308
717	76895	30201
718	77002	30094
719	77106	29985
720	77212	29878
721	77318	29770
722	77423	29663
723	77529	29555
724	77635	29447
725	77744	29341
726	77851	29234
727	77953	29125
728	78058	29017
729	78163	28909
730	78274	28804
731	78379	28696
732	78486	28589
733	78596	28483
734	78705	28376
735	78811	28269
736	78916	28161
737	79021	28053
738	79128	27946
739	79233	27838
740	79336	27730
741	79441	27622
742	79549	27515
743	79653	27407
744	79763	27301
745	79868	27193
746	79972	27085
747	80077	26978
748	80185	26871
749	80291	26763
750	80396	26656
751	80498	26547
752	80604	26440
753	80712	26333
754	80817	26225
755	80920	26117
756	81025	26009
757	81128	25901
758	81234	25793
759	81340	25686
760	81444	25578
761	81551	25471
762	81654	25363
763	81764	25256
764	81863	25147
765	81967	25039
766	82068	24930
767	82177	24824
768	82284	24717
769	82390	24610
770	82496	24502
771	82622	24401
772	82760	24303
773	82876	24199
774	82980	24091
775	83086	23983
776	83194	23876
777	83301	23769
778	83406	23662
779	83511	23554
780	83615	23446
781	83725	23340
782	83827	23231
783	83931	23123
784	84037	23016
785	84142	22909
786	84253	22802
787	84356	22695
788	84460	22587
789	84569	22480
790	84679	22374
791	84785	22266
792	84890	22159
793	84995	22051
794	85103	21944
795	85212	21838
796	85317	21730
797	85421	21623
798	85526	21515
799	85632	21408
800	85737	21300
801	85844	21193
802	85945	21085
803	86052	20977
804	86157	20870
805	86267	20764
806	86369	20656
807	86477	20549
808	86585	20442
809	86695	20336
810	86799	20228
811	86902	20120
812	87008	20012
813	87113	19905
814	87219	19798
815	87322	19690
816	87428	19583
817	87534	19475
818	87637	19367
819	87743	19260
820	87850	19153
821	87955	19046
822	88057	18938
823	88158	18829
824	88266	18723
825	88373	18616
826	88477	18508
827	88584	18401
828	88693	18295
829	88802	18188
830	88921	18083
831	89054	17982
832	89159	17874
833	89268	17768
834	89372	17660
835	89476	17552
836	89581	17445
837	89690	17338
838	89794	17231
839	89898	17123
840	90002	17015
841	90104	16908
842	90228	16804
843	90368	16703
844	90503	16601
845	90624	16496
